"","metname"
"1","1-Amino-1-cyclopentanecarboxylic acid"
"2","4-Hydroxy-3-methoxycinnamaldehyde"
"3","(-)Shikimic acid"
"4","1,1-Dimethylbiguanide hydrochloride"
"5","1-Aminocyclopropane-1-carboxylic acid"
"6","5-Methylcytosine hydrochloride"
"7","Adenine"
"8","Adenosine"
"9","Anthranilic acid"
"10","cis-Aconitic Acid"
"11","Glycine"
"12","L-Histidine"
"13","L-Methionine"
"14","L-(-)-Phenylalanine"
"15","L-Tryptophane"
"16","L-Tyrosine"
"17","Sucrose"
"18","D(+)-Galacturonic acid monohydrate"
"19","Pyridoxamine dihydrochloride  "
"20","4-Aminobenzoic acid"
"21","Agmatine sulfate salt"
"22","D-Glucosamine-6-phosphate sodium salt"
"23","L-Carnosine"
"24","1-Methylhistamine dihydrochloride"
"25","2-Aminoethylphosphonic acid"
"26","2'-Deoxyadenosine monohydrate"
"27","2'-Deoxycytidine"
"28","2'-Deoxyguanosine monohydrate "
"29","3,4-Dihydroxy-L-phenylalanine"
"30","Adonitol"
"31","Allantoin"
"32","Amantadine hydrochloride"
"33","Argininosuccinic acid disodium salt"
"34","Caffeic acid"
"35","Cystathionine"
"36","Cytidine,cell culture tested"
"37","Diethanolamine"
"38","DL-2,3-Diaminopropionic acid monohydrochloride"
"39","DL-threo-beta-Methylaspartic acid"
"40",NA
"41","Guanine"
"42","Guanosine"
"43","3-Indoleacetic acid"
"44","Inosine"
"45","L-Asparagine"
"46","L-Aspartic acid"
"47","L-Cystine"
"48","Leucylleucyltyrosine"
"49","L-Glutamic acid"
"50","L-Glutamine"
"51","L-Histidinol dihydrochloride"
"52","L-Homocarnosine"
"53","L-Ornithine monohydrochloride"
"54","L-Proline"
"55","L-Pyroglutamic acid"
"56","L-Serine"
"57","Maltotriose"
"58","1-Methylguanidine hydrochloride"
"59","Nicotinic acid mono nucleotide "
"60","Orotic acid ,Anhydrous"
"61","4-Nitrophenol"
"62","3,4-Dihydroxybenzoic acid"
