"ID","year","place","sowing","varietyID","variety","block","plot","ind","LeafDryWeight_g","ShootDryWeight_g","ShootFreshWeight_g","LeafFreshWeight_g","GrowthStage","NumberOfNodes","NumberOfTillers","PlantHeight_cm","TillerLength_cm"
NA,2019,"Tottori","Jul",152,"GmWMC152","W1",1,1,NA,NA,NA,NA,NA,NA,NA,69,NA
NA,2019,"Tottori","Jul",152,"GmWMC152","W1",1,2,30.26,58.03,233.67,109.3,3,8,12,66,46
NA,2019,"Tottori","Jul",152,"GmWMC152","W1",1,3,NA,45.48,179.16,NA,3,6,11,71,45
NA,2019,"Tottori","Jul",152,"GmWMC152","W1",1,4,NA,NA,NA,NA,NA,NA,NA,68,NA
NA,2019,"Tottori","Jul",8,"GmJMC008","W1",2,1,NA,NA,NA,NA,NA,NA,NA,16,NA
NA,2019,"Tottori","Jul",8,"GmJMC008","W1",2,2,1.48,9.95,34.18,5.17,6,3,7,22,10
NA,2019,"Tottori","Jul",8,"GmJMC008","W1",2,3,NA,10.91,35.24,NA,6,5,6,21,11
NA,2019,"Tottori","Jul",8,"GmJMC008","W1",2,4,NA,NA,NA,NA,NA,NA,NA,19,NA
NA,2019,"Tottori","Jul",227,"Tachiutaka","W1",3,1,NA,NA,NA,NA,NA,NA,NA,41,NA
NA,2019,"Tottori","Jul",227,"Tachiutaka","W1",3,2,11.24,27.64,106.85,31.53,5,7,9,40,11
NA,2019,"Tottori","Jul",227,"Tachiutaka","W1",3,3,NA,33.99,130.57,NA,5,6,9,44,17
NA,2019,"Tottori","Jul",227,"Tachiutaka","W1",3,4,NA,NA,NA,NA,NA,NA,NA,42,NA
NA,2019,"Tottori","Jul",185,"GmWMC185","W1",4,1,NA,NA,NA,NA,NA,NA,NA,64,NA
NA,2019,"Tottori","Jul",185,"GmWMC185","W1",4,2,30.12,63.06,244.25,104.55,1,8,14,76,62
NA,2019,"Tottori","Jul",185,"GmWMC185","W1",4,3,NA,50.91,183.64,NA,1,8,12,76,52
NA,2019,"Tottori","Jul",185,"GmWMC185","W1",4,4,NA,NA,NA,NA,NA,NA,NA,73,NA
NA,2019,"Tottori","Jul",110,"GmJMC110","W1",5,1,NA,NA,NA,NA,NA,NA,NA,68,NA
NA,2019,"Tottori","Jul",110,"GmJMC110","W1",5,2,39.04,76.89,315.56,143.52,4,7,13,72,29
NA,2019,"Tottori","Jul",110,"GmJMC110","W1",5,3,NA,36.14,148.27,NA,4,7,12,73,24
NA,2019,"Tottori","Jul",110,"GmJMC110","W1",5,4,NA,NA,NA,NA,NA,NA,NA,72,NA
NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,1,NA,NA,NA,NA,NA,NA,NA,50,NA
NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,2,15.22,32.76,115.86,40.98,5,6,8,45,18
NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,3,NA,27.99,100.9,NA,5,6,9,46,21
NA,2019,"Tottori","Jul",53,"GmJMC053","W1",6,4,NA,NA,NA,NA,NA,NA,NA,58,NA
NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,1,NA,NA,NA,NA,NA,NA,NA,39,NA
NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,2,12.38,29,94.9,32.43,6,5,10,35,15
NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,3,NA,24.81,82.35,NA,5,7,11,32,17
NA,2019,"Tottori","Jul",35,"GmWMC035","W1",7,4,NA,NA,NA,NA,NA,NA,NA,35,NA
NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,1,NA,NA,NA,NA,NA,NA,NA,37,NA
NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,2,27.41,54.23,193,85,5,6,8,40,24
NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,3,NA,56.03,195.59,NA,5,9,12,49,23
NA,2019,"Tottori","Jul",59,"GmJMC059","W1",8,4,NA,NA,NA,NA,NA,NA,NA,45,NA
NA,2019,"Tottori","Jul",6,"GmWMC006","W1",9,1,NA,NA,NA,NA,NA,NA,NA,39,NA
