"","var.id","DryWeight_Leaves_g","DryWeight_Shoot_g","FreshWeight_Shoot_g","FreshWeight_Leaves_g","GrowthStage","NumberOfNodes","NumberOfTillers","PlantHeight_cm","TillerLength_cm"
"W1.001","GmWMC152",29.1122349682236,50.9290018482664,201.712965241805,101.149502849119,3.04389716897294,6.96990064139435,11.8550612611283,67.6624169742395,43.9785483065802
"W1.002","GmJMC008",5.53249021121588,20.9580349744455,72.3099823385848,25.7996024406956,5.91518807003417,4.95447120112941,8.3897293058704,20.5039238336571,14.8572671971284
"W1.003","Tachiutaka",13.5289568140093,35.7422614650165,135.615364033179,44.8740610478793,4.95809110301388,6.63399573468355,10.1223952834993,41.9177293923895,17.7693953080735
"W1.004","GmWMC185",28.9975315538393,54.7220606927935,207.387840529427,97.7123375082947,1.12970323493192,7.64171045481597,12.8946608477057,71.2714853268336,53.5469692425427
"W1.005","GmJMC110",36.3057776703268,54.3811930719662,220.930670399092,125.911565578171,4.00099413599338,6.96990064139435,12.5481276521799,70.3090670994778,28.1698528471634
"W1.006","GmJMC053",16.7898110229354,35.4231513519009,127.830309355739,51.7122110417293,4.95809110301381,6.29809082797273,9.77586208797356,49.6170752112612,22.345596625273
"W1.007","GmWMC035",14.4629703311389,32.906532959834,112.942240125064,45.5253134282459,5.43663958652402,6.29809082797273,11.1619948700767,35.6620109145575,19.433468514328
"W1.008","GmJMC059",26.7772011753997,53.3767214659107,192.57890302587,83.5656885792188,4.95809110301384,7.30580554810517,10.815461674551,42.8801476197488,25.6737430377821
"W1.009","GmWMC006",13.6436602283937,45.7906037768562,174.329619481411,48.6151441662078,5.91518807003431,6.63399573468353,10.1223952834994,38.3086610397943,21.9295783237097
"W1.010","GmJMC005",17.3141694886923,39.5860878275388,152.082299628739,55.0408343191589,5.91518807003429,5.6262810145511,8.73626250139626,32.7747562324804,16.5213404033831
"W1.011","C1322",27.1458907216351,52.916187552665,189.308124971649,83.6959390552921,4.4795426195036,7.97761536152679,10.1223952834994,53.2261435638567,20.2655051174554
"W1.012","GmJMC068",25.3270222935407,46.9038629214737,182.774105218172,88.0376215910699,3.52244565248316,7.97761536152679,12.2015944566541,57.7976301438114,22.3455966252733
"W1.013","GmJMC017",18.1908312986297,37.388579548587,139.149914511129,63.7386716658337,4.47954261950361,5.96218592126191,11.1619948700767,45.7674023018253,22.7616149268369
"W1.014","GmJMC052",11.7182814869424,38.9732513603063,140.201236028557,43.4268335359534,5.9151880700343,5.29037610784028,10.1223952834994,33.9777790166799,22.7616149268369
"W1.015","GmWMC036",7.5561861649966,24.7293363112596,87.7896554339074,31.7549436522708,5.91518807003429,5.29037610784028,10.1223952834994,26.519037754647,15.2732854986923
"W1.016","GmJMC077",24.7654369091113,48.8112710975935,181.621042908734,78.2063510662148,4.95809110301385,5.96218592126191,11.1619948700767,52.5043298933377,25.673743037782
"W1.017","GmWMC164",32.1600376793576,61.2239292475139,240.039098409407,112.23305497125,3.52244565248315,8.64942517494841,16.0134596074377,67.1812078605596,47.7227130206522
"W1.018","GmWMC072",30.2264967079572,55.0774333187628,195.883594677427,96.2434015836899,4.00099413599338,9.99304480179167,12.5481276521799,58.0382347006505,36.9062371799989
"W1.019","GmWMC086",12.7424191153739,35.4086463467593,120.859181014369,35.7492915851863,5.91518807003428,4.28266138770784,11.1619948700767,38.0680564829546,24.4256881330913
"W1.020","GmJMC009",10.7187231615932,26.8361883080763,96.9877766670328,38.5062599954052,5.91518807003431,5.6262810145511,10.1223952834994,28.2032696525269,14.8572671971287
"W1.021","GmWMC148",20.116210040081,39.7420166328109,173.278297963983,81.0040958831099,1.60825171844223,7.97761536152679,11.8550612611283,52.9855390070168,31.4979992596723
"W1.022","GmWMC094",19.8949963123398,38.124708559523,141.252557545985,70.1426534061059,4.47954261950362,7.30580554810516,11.8550612611283,53.7073526775359,25.673743037782
"W1.023","GmWMC135",43.1552101292769,79.4603469617848,317.787904391821,145.297178100419,3.04389716897292,8.3135202682376,14.6273268253346,85.2983289214841,53.1309509409789
"W1.024","GmJMC025",28.6042627045216,55.4545634524442,186.941709513066,83.2183539763566,4.95809110301384,7.30580554810516,11.5085280656025,49.3764706544212,23.1776332284005
"W1.025","GmJMC061",28.2028007541764,51.1864656895298,189.895960658814,88.992791748941,4.95809110301385,8.64942517494842,10.1223952834994,58.0382347006505,20.681523419019
"W1.026","GmJMC133",27.252401034992,58.5405032963187,215.851167153597,85.5628625456766,3.04389716897293,6.96990064139435,14.6273268253346,63.639053151985,38.1542920846897
"W1.027","GmJMC111",36.1091432456679,62.1957645920007,230.897499838509,111.996473051004,4.47954261950362,8.3135202682376,12.8946608477057,48.8952615407417,34.826145672181
"W1.028","GmWMC138",23.907873792534,44.115275683002,184.646889426637,79.8104818827778,2.56534868546273,10.3289497085025,14.9738600208604,45.286193188146,39.8183652909441
"W1.029","GmJMC034",23.907873792534,56.9522052333139,208.069880653637,79.8104818827778,4.95809110301384,4.28266138770784,9.7758620879736,43.1207521765887,20.2655051174554
"W1.030","GmWMC084",23.907873792534,39.0711601450122,140.495153872139,79.8104818827778,4.95809110301383,5.29037610784028,9.7758620879736,44.0831704039475,23.5936515299641
"W1.031","GmWMC024",13.8812601581898,46.3055314593829,173.138875397155,49.8380514137852,5.43663958652406,6.96990064139435,11.5085280656025,46.7298205291844,26.5057796409093
"W1.032","GmJMC049",23.907873792534,37.9905372619633,136.629003775791,79.8104818827778,5.43663958652405,6.29809082797272,9.77586208797361,43.1207521765887,23.1776332284005
"W1.033","GmWMC165",23.907873792534,58.3519382294779,209.758024165492,91.9306635981506,3.04389716897293,9.65713989508086,14.6273268253346,63.8127440648035,74.347884320722
"W1.034","GmWMC176",24.2291467558621,47.1468217575954,213.906787572978,94.5646176698558,1.12970323493205,9.65713989508086,15.3203932163862,66.2187896332002,48.1387313222159
"W1.035","GmWMC189",24.5322914938778,33.3561881192235,129.431784785512,82.1835863053295,1.12970323493205,7.30580554810516,12.8946608477057,46.248611415505,35.2421639737446
"W1.036","GmJMC090",23.907873792534,48.7486344873182,187.329317246177,79.8104818827778,4.0231716949675,6.9082868414822,12.6568015061784,46.2130516498443,36.4417663506053
"W1.037","GmWMC014",30.9720689014553,55.6938960372805,221.390388051874,93.5732668241865,5.43663958652406,6.63399573468354,11.1619948700767,39.5225212591455,30.2499443549815
"W1.038","GmWMC146",27.9733939254078,51.2009706946713,206.460868868899,84.6221646629247,3.04389716897294,8.31352026823761,15.3203932163861,63.0909303942842,43.97854830658
"W1.039","GmJMC099",20.460320283234,30.4080458241943,112.961081012472,71.5392279551144,3.52244565248316,6.96990064139435,10.815461674551,41.1959157218711,23.1776332284005
"W1.040","GmWMC103",9.68639243213421,38.4655761803506,150.111542805747,38.21681449302,5.43663958652405,3.2749466675754,15.3203932163861,35.1808018008785,32.7460541643631
"W1.041","GmJMC013",8.70322030883993,28.8922727868976,103.876005103802,33.412019153426,5.91518807003426,4.61856629441866,9.77586208797361,28.4438742093667,18.601431911201
"W1.042","GmWMC143",22.2791887113284,45.9392800795576,179.360136419642,80.0344534501195,3.04389716897293,9.65713989508085,14.6273268253346,60.4442802690475,35.2421639737446
"W1.043","GmJMC064",9.67819933110675,32.1558989437566,121.21338969766,35.0112055541041,4.95809110301381,6.29809082797272,11.5085280656025,33.9571677454133,20.681523419019
"W1.044","GmWMC175",32.9466062490713,67.7439290586609,257.353873938375,114.594246434911,3.52244565248316,7.64171045481598,14.6273268253346,67.9030215310784,62.6993718769415
"W1.045","GmWMC141",15.5034941616253,38.3168998776492,154.885823675214,59.5055311934503,2.08680020195249,8.64942517494842,16.3599928029635,63.5721395079637,50.2188228300338
"W1.046","GmJMC051",24.9583327473053,52.7965212602468,210.466441532075,84.4919141868514,4.95809110301383,6.96990064139435,10.4689284790252,52.0231207796578,30.6659626565451
"W1.047","GmWMC159",23.907873792534,39.8362991662313,164.536126206158,79.8104818827778,1.60825171844227,8.98533008165923,14.6273268253346,46.970425086024,42.3144751003256
"W1.048","GmJMC101",34.5852264545618,68.0086454024951,274.826912921579,115.563888867901,3.04389716897294,7.30580554810516,12.8946608477057,71.512089883674,34.826145672181
"W1.049","UA-4805",17.7729831462296,41.5080010088002,150.288647147392,54.5415408275444,4.95809110301383,7.97761536152679,11.1619948700767,42.208499999119,22.7616149268369
"W1.050","GmWMC147",35.8223847097071,75.2611479732928,299.101512259471,126.613470921455,3.04389716897294,7.30580554810516,15.3203932163862,69.5872534289564,51.8828960362882
"W1.051","GmJMC054",43.7205341001711,72.1933393858453,268.368256717738,144.059798577722,4.00099413599337,7.64171045481598,12.5481276521799,49.7256693676545,21.5135600221462
"W1.052","GmWMC125",37.7805358552682,76.490447159043,318.368203724022,135.919143823139,3.04389716897292,6.96990064139435,13.934260434283,63.5721395079636,45.6426215128343
"W1.053","GmWMC155",25.9251186685447,48.8076448463081,219.702244540018,100.686390045302,2.0868002019525,6.63399573468354,14.9738600208604,53.9479572343757,46.4746581159615
